Year,Fisical Quarter,Quarterly Revenue (millions),Earnings from operations (millions),Net earnings (millions),Earnings per share,Commercial Airplanes Deliveries
2018,Q1,23382,2875,2477,4.15,184
2018,Q2,24258,2710,2196,3.73,194
2018,Q3,25146,2227,2363,4.07,190
2018,Q4,28341,4175,3424,5.93,238
2019,Q1,22917,2350,2149,3.75,149
2019,Q2,15751,-3380,-2942,-5.21,90
2019,Q3,19980,1259,1167,2.05,62
2019,Q4,17911,-2204,-1010,-1.79,79
2020,Q1,16908,-1353,-641,-1.11,50
2020,Q2,11807,-2964,-2395,-4.2,20
2020,Q3,14139,-401,-466,-0.79,28
2020,Q4,15304,-8049,-8439,-14.65,59
2021,Q1,15217,-83,-561,-0.92,77
2021,Q2,16998,1023,567,1,79
2021,Q3,15278,329,-132,-0.19,85
2021,Q4,14793,-4171,-4164,-7.02,99
2022,Q1,13991,-1169,-1242,-2.06,95
2022,Q2,16681,774,160,0.32,121
2022,Q3,15956,-2799,-3308,-5.49,112
2022,Q4,19980,-353,-663,-1.06,152
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
